[2, 9, 3, 4, 5, 4, 6, 7, 8, 7, 6, 5, 4, 3]
[2, 3, 9, 3, 4, 5, 4, 6, 7, 8, 7, 6, 5, 4]
[2, 3, 3, 9, 4, 4, 5, 4, 6, 7, 8, 7, 6, 5]
[2, 3, 3, 4, 9, 4, 4, 5, 5, 6, 7, 8, 7, 6]
[2, 3, 3, 4, 4, 9, 4, 5, 5, 6, 6, 7, 8, 7]
[2, 3, 3, 4, 4, 4, 9, 5, 5, 6, 6, 7, 7, 8]
[2, 3, 3, 4, 4, 4, 5, 9, 5, 6, 6, 7, 7, 8]
[2, 3, 3, 4, 4, 4, 5, 5, 9, 6, 6, 7, 7, 8]
[2, 3, 3, 4, 4, 4, 5, 5, 6, 9, 6, 7, 7, 8]
[2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 9, 7, 7, 8]
[2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 9, 7, 8]
[2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7, 9, 8]
[2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7, 8, 9]
